grad_str,grad_duration,delta,b,avg,duration,v6,v7
0.01, 200, 0, 38.37, 0.001567, 1246.2579798698425, 0.001405, 0.001728
0.1, 20, 200, 61.1, 0.00114, 2127.8468446731567, 0.000922, 0.001359
0.01, 400, 0, 306.92, 0.001301, 2691.8014056682587, 0.00099, 0.001612
0.1, 50, 200, 417.83, 0.001159, 1815.110511302948, 0.001213, 0.001104
0.02, 100, 0, 19.18, 0.001053, 765.7501587867737, 0.001417, 0.000689
0.1, 100, 200, 1911.1, 0.000662, 1927.4344537258148, 0.000734, 0.000591
0.02, 200, 0, 153.46, 0.001086, 1456.580763578415, 0.001117, 0.001056
0.2, 10, 200, 59.18, 0.001246, 1041.2937548160553, 0.001055, 0.001437
0.2, 20, 200, 244.39, 0.001088, 1624.2582848072052, 0.001081, 0.001095
0.05, 400, 0, 1227.68, 0.000828, 2604.8306772708893, 0.00073, 0.000926
0.035, 100, 0, 58.75, 0.000964, 674.2686259746552, 0.001182, 0.000746
0.035, 200, 0, 469.97, 0.001229, 1268.7966935634613, 0.001172, 0.001285
0.05, 50, 0, 14.99, 0.001057, 340.0675446987152, 0.000978, 0.001137
0.2, 50, 200, 1671.31, 0.001001, 2759.450674057007, 0.00111, 0.000892
0.05, 100, 0, 119.89, 0.001236, 662.4608936309814, 0.001194, 0.001278
0.05, 200, 0, 959.13, 0.001104, 1318.626626253128, 0.001171, 0.001037
0.1, 50, 0, 59.95, 0.001011, 367.0725827217102, 0.001068, 0.000953
0.1, 100, 0, 479.56, 0.001112, 683.3824274539948, 0.001042, 0.001181
0.2, 20, 0, 15.35, 0.00097, 169.49049973487854, 0.000982, 0.000959
0.2, 50, 0, 239.78, 0.00113, 350.5615119934082, 0.001168, 0.001092
0.2, 100, 0, 1918.25, 0.001064, 675.4170951843262, 0.001428, 0.0007
0.01, 100, 400, 33.43, 0.000946, 4809.661875009537, 0.000609, 0.001282
0.01, 200, 10, 41.23, 0.000905, 1408.4491629600525, 0.000818, 0.000992
0.02, 100, 10, 22.05, 0.001262, 717.124653339386, 0.00118, 0.001345
0.02, 200, 10, 164.91, 0.0012, 1346.4903581142426, 0.001248, 0.001153
0.01, 200, 400, 152.89, 0.000965, 5781.406452894211, 0.000589, 0.00134
0.05, 400, 10, 1273.49, 0.000803, 2636.757663488388, 0.000611, 0.000996
0.035, 100, 10, 67.51, 0.001107, 718.7156438827515, 0.000981, 0.001233
0.035, 200, 10, 505.04, 0.001257, 1353.9223852157593, 0.00134, 0.001174
0.05, 50, 10, 19.46, 0.001227, 420.8414249420166, 0.001973, 0.000482
0.05, 100, 10, 137.78, 0.001225, 732.5895652770996, 0.001194, 0.001256
0.05, 200, 10, 1030.7, 0.001234, 1380.664818763733, 0.001269, 0.0012
0.1, 50, 10, 77.84, 0.001167, 373.22341084480286, 0.001207, 0.001127
0.1, 100, 10, 551.14, 0.001103, 690.0409843921661, 0.001085, 0.001121
0.2, 20, 10, 26.8, 0.001259, 195.9935963153839, 0.001402, 0.001116
0.01, 400, 400, 765.01, 0.001713, 7940.562666654587, 0.001342, 0.002084
0.2, 50, 10, 311.36, 0.001132, 365.8053984642029, 0.001138, 0.001125
0.2, 100, 10, 2204.56, 0.000713, 645.6832323074341, 0.000581, 0.000845
0.01, 200, 20, 44.09, 0.00154, 1292.1919968128204, 0.001942, 0.001139
0.02, 50, 400, 31.03, 0.002079, 2346.687534093857, 0.001979, 0.00218
0.01, 400, 20, 329.82, 0.001188, 2520.4823265075684, 0.001227, 0.00115
0.02, 100, 400, 133.71, 0.00117, 2836.4628303050995, 0.001196, 0.001144
0.02, 100, 20, 24.91, 0.001688, 738.7227320671082, 0.00229, 0.001086
0.02, 200, 20, 176.36, 0.001153, 1307.5819869041443, 0.001255, 0.001052
0.02, 200, 400, 611.55, 0.001416, 3629.0918383598328, 0.001539, 0.001294
0.05, 400, 20, 1319.3, 0.001154, 2462.671438932419, 0.000851, 0.001458
0.035, 100, 20, 76.28, 0.000874, 722.1393485069275, 0.000698, 0.00105
0.035, 200, 20, 540.12, 0.001123, 1385.603145122528, 0.001191, 0.001054
0.05, 50, 20, 23.93, 0.000952, 422.7218005657196, 0.000941, 0.000962
0.05, 100, 20, 155.68, 0.001194, 714.9680228233337, 0.00116, 0.001228
0.02, 400, 400, 3060.04, -3.8e-05, 5072.8468906879425, 4.1e-05, -0.000116
0.05, 200, 20, 1102.28, 0.001045, 1341.2399044036865, 0.001052, 0.001037
0.1, 50, 20, 95.73, 0.001224, 408.3169436454773, 0.001258, 0.001189
0.1, 100, 20, 622.72, 0.001098, 705.7344732284546, 0.001118, 0.001078
0.2, 20, 20, 38.25, 0.000881, 232.83151602745056, 0.001003, 0.000759
0.035, 20, 400, 14.5, -0.000849, 1610.7861034870148, -9.6e-05, -0.001603
0.2, 50, 20, 382.93, 0.001176, 406.2489402294159, 0.001155, 0.001197
0.2, 100, 20, 2490.87, 0.000684, 727.3996896743774, 0.000755, 0.000612
0.035, 50, 400, 95.02, 0.001329, 1830.365211725235, 0.001213, 0.001445
0.01, 200, 50, 52.68, 0.001099, 1424.62184882164, 0.001083, 0.001115
0.035, 100, 400, 409.47, 0.001095, 2765.2232036590576, 0.001039, 0.00115
0.01, 400, 50, 364.18, 0.000981, 2659.6544630527496, 0.00079, 0.001172
0.02, 100, 50, 33.5, 0.00157, 807.1526744365692, 0.001534, 0.001606
0.02, 200, 50, 210.72, 0.001344, 1483.2989990711212, 0.001362, 0.001325
0.035, 200, 400, 1872.87, 0.000498, 3755.839066505432, 4.5e-05, 0.000951
0.05, 400, 50, 1456.73, 0.00144, 2613.964410305023, 0.001822, 0.001058
0.035, 50, 50, 18.3, 0.000866, 503.33206605911255, 0.000909, 0.000823
0.05, 20, 400, 29.59, 0.001782, 2121.538545846939, 0.002105, 0.001459
0.035, 100, 50, 102.59, 0.001296, 763.2276010513306, 0.001323, 0.001269
0.035, 200, 50, 645.33, 0.001218, 1440.0603342056274, 0.001165, 0.00127
0.05, 50, 400, 193.93, 0.001252, 2549.7969353199005, 0.001218, 0.001287
0.05, 50, 50, 37.35, 0.001402, 482.0362992286682, 0.001318, 0.001487
0.05, 100, 50, 209.36, 0.001166, 770.4851615428925, 0.001262, 0.00107
0.05, 200, 50, 1317.01, 0.001102, 1418.3143112659454, 0.000992, 0.001211
0.1, 20, 50, 18.15, 0.001156, 311.3950686454773, 0.001027, 0.001284
0.05, 100, 400, 835.66, 0.001094, 2915.5153925418854, 0.001184, 0.001005
0.1, 50, 50, 149.42, 0.00123, 508.22309732437134, 0.001168, 0.001292
0.1, 100, 50, 837.45, 0.001195, 793.065395116806, 0.001209, 0.001181
0.2, 10, 50, 16.23, 0.00128, 255.30755639076233, 0.001659, 0.0009
0.2, 20, 50, 72.61, 0.00108, 303.6048972606659, 0.000988, 0.001172
0.2, 50, 50, 597.66, 0.001094, 568.8843076229095, 0.001086, 0.001102
0.1, 10, 400, 29.11, 0.001148, 2134.795352458954, 0.001474, 0.000822
0.2, 100, 50, 3349.78, -8e-06, 825.1161637306213, -0.000131, 0.000116
0.1, 20, 400, 118.36, 0.001211, 2137.0324037075043, 0.00147, 0.000951
0.01, 200, 100, 67.0, 0.000958, 1617.526062488556, 0.001737, 0.000178
0.1, 50, 400, 775.71, 0.001099, 1851.335473537445, 0.001221, 0.000977
0.01, 400, 100, 421.44, 0.001414, 2689.470104455948, 0.001611, 0.001217
0.02, 100, 100, 47.81, 0.001211, 982.116073846817, 0.001227, 0.001195
0.1, 100, 400, 3342.63, -0.000825, 3005.193592071533, -0.000432, -0.001218
0.02, 200, 100, 267.98, 0.001017, 1536.65069937706, 0.000993, 0.001042
0.2, 10, 400, 116.44, 0.00124, 2172.3322882652283, 0.001309, 0.001171
0.02, 400, 100, 1685.77, 0.0008, 2758.4911637306213, 0.000772, 0.000828
0.035, 50, 100, 29.26, 0.000855, 626.4044511318207, 0.000684, 0.001026
0.2, 20, 400, 473.44, 0.001295, 2189.6857759952545, 0.001309, 0.001281
0.035, 100, 100, 146.43, 0.001179, 969.0573019981384, 0.001254, 0.001104
0.2, 50, 400, 3102.85, -1.5e-05, 2074.537729740143, 5.3e-05, -8.3e-05
0.035, 200, 100, 820.7, 0.001118, 1606.3236565589905, 0.000947, 0.00129
0.05, 50, 100, 59.72, 0.001211, 680.7316641807556, 0.00107, 0.001352
0.05, 100, 100, 298.83, 0.00113, 928.0020244121552, 0.001114, 0.001146
0.05, 200, 100, 1674.89, 0.001295, 1586.536500453949, 0.00166, 0.00093
0.1, 20, 100, 32.47, 0.000876, 451.9374432563782, 0.000888, 0.000864
0.01, 50, 800, 14.91, -0.001061, 4263.084092140198, 3.5e-05, -0.001158
0.1, 50, 100, 238.89, 0.001184, 615.1822118759155, 0.001213, 0.001155
0.1, 100, 100, 1195.33, 0.000857, 962.2735598087311, 0.000836, 0.000878
0.2, 10, 100, 30.55, 0.001035, 410.50698947906494, 0.001126, 0.000944
0.2, 20, 100, 129.87, 0.001196, 452.46262669563293, 0.001074, 0.001317
0.2, 50, 100, 955.55, 0.001178, 621.9038326740265, 0.001247, 0.001109
0.01, 100, 200, 19.11, 0.001598, 1244.8558232784271, 0.001715, 0.001481
0.01, 100, 800, 62.06, 0.001438, 4847.587062358856, 0.002223, 0.000653
0.01, 200, 200, 95.63, 0.001356, 1828.2896184921265, 0.00134, 0.001372
0.01, 400, 200, 535.97, 0.001573, 3081.9162397384644, 0.002016, 0.00113
0.02, 50, 200, 16.71, 0.001536, 910.1643013954163, 0.001715, 0.001358
0.01, 200, 800, 267.41, 0.00105, 5522.970195770264, 0.001182, 0.000917
0.02, 100, 200, 76.44, 0.001337, 1269.9181427955627, 0.001313, 0.001361
0.02, 200, 200, 382.51, 0.001285, 1893.5680718421936, 0.001275, 0.001295
0.02, 400, 200, 2143.86, 0.000247, 3160.849107027054, 0.00015, 0.000343
0.035, 50, 200, 51.18, 0.000995, 983.7893545627594, 0.000878, 0.001112
0.035, 100, 200, 234.11, 0.001078, 1235.7348580360413, 0.000998, 0.001158
0.035, 200, 200, 1171.42, 0.001441, 1838.3785607814789, 0.00149, 0.001393
0.05, 20, 200, 15.27, 0.001162, 743.9894006252289, 0.000665, 0.001659
0.05, 50, 200, 104.46, 0.001293, 909.2765715122223, 0.001239, 0.001347
0.02, 50, 800, 59.66, 0.000971, 4041.0007243156433, 0.001171, 0.00027
0.05, 100, 200, 477.77, 0.001253, 1230.0520474910736, 0.001283, 0.001223
0.05, 200, 200, 2390.66, 0.000217, 1938.2119269371033, 0.000213, 0.000221
0.1, 10, 200, 14.79, 0.001229, 673.5855860710144, 0.001242, 0.001216
0.02, 100, 800, 248.23, 0.001271, 4456.759543180466, 0.00101, 0.001532
0.02, 200, 800, 1069.64, 0.0013, 4231.018357038498, 0.001601, 0.000999
0.035, 20, 800, 28.53, 0.003445, 3309.447797060013, 0.003499, 0.00339
0.035, 50, 800, 182.71, 0.000789, 3539.5438816547394, 0.000532, 0.001046
0.035, 100, 800, 760.2, 0.001167, 3997.6156284809113, 0.001335, 0.000999
0.035, 200, 800, 3275.77, 8.6e-05, 4505.389788389206, -0.000114, 0.000287
0.05, 10, 800, 14.44, 0.005089, 3085.1317145824432, 0.006189, 0.00399
0.05, 20, 800, 58.22, 0.001352, 3125.6225543022156, 0.001953, 0.000751
0.05, 50, 800, 372.87, 0.0015, 3377.7037420272827, 0.000946, 0.001354
0.05, 100, 800, 1551.42, 0.000511, 3697.2034363746643, 0.000493, 0.000529
0.1, 10, 800, 57.74, 0.000702, 3251.0899906158447, 0.000618, 0.000786
0.1, 20, 800, 232.88, 0.000843, 3235.3675038814545, 0.000938, 0.000749
0.1, 50, 800, 1491.48, 0.00057, 3147.1946852207184, 0.0007, 0.000441
0.2, 10, 800, 230.96, 0.001064, 3115.991838693619, 0.001227, 0.000901
0.2, 20, 800, 931.53, 0.000837, 3516.9678213596344, 0.000717, 0.000958
